Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
92.5,0.1,53.489,0.018696,6.9805,6.9823,22.009,68.589,75.802,1548.9,-0.18259,305.42,0.67402,
92.75,0.1,53.479,0.018699,6.9994,7.0013,22.061,68.565,75.806,1548.8,-0.18245,304.57,0.67414,
93,0.1,53.47,0.018702,7.0184,7.0202,22.113,68.542,75.811,1548.6,-0.1823,303.72,0.67426,
93.25,0.1,53.46,0.018706,7.0373,7.0392,22.165,68.518,75.815,1548.4,-0.18216,302.88,0.67437,
93.5,0.1,53.451,0.018709,7.0563,7.0581,22.216,68.495,75.82,1548.3,-0.18201,302.04,0.67449,
93.75,0.1,53.441,0.018712,7.0752,7.0771,22.268,68.471,75.824,1548.1,-0.18187,301.2,0.6746,
94,0.1,53.431,0.018716,7.0942,7.0961,22.32,68.447,75.829,1547.9,-0.18172,300.37,0.67472,
94.25,0.1,53.422,0.018719,7.1131,7.115,22.371,68.424,75.833,1547.7,-0.18158,299.54,0.67483,
94.5,0.1,53.412,0.018722,7.1321,7.134,22.423,68.4,75.838,1547.6,-0.18143,298.72,0.67494,
94.75,0.1,53.403,0.018726,7.1511,7.1529,22.474,68.377,75.843,1547.4,-0.18129,297.9,0.67506,
95,0.1,53.393,0.018729,7.17,7.1719,22.526,68.353,75.847,1547.2,-0.18114,297.09,0.67517,
95.25,0.1,53.383,0.018732,7.189,7.1909,22.577,68.33,75.852,1547,-0.18099,296.27,0.67528,
95.5,0.1,53.374,0.018736,7.2079,7.2098,22.629,68.306,75.857,1546.8,-0.18085,295.47,0.67539,
95.75,0.1,53.364,0.018739,7.2269,7.2288,22.68,68.283,75.862,1546.6,-0.1807,294.66,0.67549,
96,0.1,53.354,0.018743,7.2459,7.2477,22.732,68.259,75.866,1546.5,-0.18055,293.86,0.6756,
96.25,0.1,53.344,0.018746,7.2648,7.2667,22.783,68.236,75.871,1546.3,-0.18041,293.07,0.67571,
96.5,0.1,53.335,0.01875,7.2838,7.2857,22.834,68.212,75.876,1546.1,-0.18026,292.28,0.67581,
96.75,0.1,53.325,0.018753,7.3028,7.3047,22.886,68.189,75.881,1545.9,-0.18011,291.49,0.67592,
97,0.1,53.315,0.018756,7.3217,7.3236,22.937,68.165,75.886,1545.7,-0.17997,290.7,0.67602,
97.25,0.1,53.305,0.01876,7.3407,7.3426,22.988,68.142,75.891,1545.5,-0.17982,289.92,0.67613,
97.5,0.1,53.295,0.018763,7.3597,7.3616,23.039,68.119,75.896,1545.3,-0.17967,289.15,0.67623,
97.75,0.1,53.286,0.018767,7.3787,7.3805,23.091,68.095,75.901,1545.1,-0.17953,288.37,0.67633,
98,0.1,53.276,0.01877,7.3976,7.3995,23.142,68.072,75.906,1544.9,-0.17938,287.61,0.67643,
98.25,0.1,53.266,0.018774,7.4166,7.4185,23.193,68.048,75.911,1544.7,-0.17923,286.84,0.67653,
98.5,0.1,53.256,0.018777,7.4356,7.4375,23.244,68.025,75.916,1544.4,-0.17908,286.08,0.67663,
98.75,0.1,53.246,0.018781,7.4546,7.4565,23.295,68.001,75.921,1544.2,-0.17893,285.32,0.67673,
99,0.1,53.236,0.018784,7.4736,7.4754,23.346,67.978,75.926,1544,-0.17879,284.56,0.67683,
99.25,0.1,53.226,0.018788,7.4925,7.4944,23.397,67.955,75.931,1543.8,-0.17864,283.81,0.67692,
99.5,0.1,53.216,0.018791,7.5115,7.5134,23.448,67.931,75.936,1543.6,-0.17849,283.07,0.67702,
99.606,0.1,53.212,0.018793,7.5196,7.5214,23.47,67.921,75.938,1543.5,-0.17843,282.75,0.67706,
99.606,0.1,0.032769,30.517,45.138,48.19,132.57,28.01,37.444,471.99,67.038,12.218,0.024532,
99.75,0.1,0.032755,30.529,45.142,48.195,132.59,28.001,37.432,472.1,66.891,12.224,0.024544,
100,0.1,0.032732,30.551,45.15,48.205,132.61,27.987,37.411,472.28,66.638,12.234,0.024564,
100.25,0.1,0.032708,30.574,45.157,48.214,132.64,27.972,37.39,472.46,66.387,12.243,0.024585,
100.5,0.1,0.032684,30.596,45.164,48.223,132.66,27.958,37.37,472.63,66.138,12.253,0.024606,
100.75,0.1,0.032661,30.618,45.171,48.233,132.69,27.944,37.35,472.81,65.891,12.263,0.024626,
101,0.1,0.032637,30.64,45.178,48.242,132.71,27.93,37.331,472.99,65.647,12.272,0.024647,
